Category,Sub-Category,Description
P&C Employee Movement/EAA Request,Endorsement for Communication Allowance,Ticket for submission of communication allowance reimbursement requirements including reimbursement form and receipts.
P&C Employee Movement/EAA Request,Other movement endorsement/process inquiries,Other movement endorsement or employee movement-related inquiries.
P&C Allowance,OT Allowance reimbursement,Ticket for submission of reimbursable overtime allowance requests of eligible employees.
P&C Allowance,Reimbursable allowance (part of compensation),Requests for processing of reimbursable allowances that form part of employee compensation.
Outage,ISP Outage,Any outage ticket related to the ISP
Outage,Network Outage,"Any outage ticket related to the switches, firewall, and other network devices that the KMC NOC team maintains"
Outage,Power Outage,Any outage ticket related to power issue/failure
Outage,Server Outage,Any outage ticket related to servers maintained by KMC Server Team
Outage,System Outage,Any outage ticket related to web portals and applications that the KMC Dev Team maintains
Outage,Telephony Outage,Any outage ticket related to the 3CX phone system
Other,Other Inquiries / Requests,Any ticket related to Handling of any other inquiries or requests specific to Zoom clients.
On Boarding,New Joinee,Request to on board a new employee. This will be the tag if there's a request for bio enrollment but the enrollee has no existing bio ID yet.
On Boarding,New Hire Shadowing,
Off Boarding,Exit Clearance,Ticket related to the signing of clearance of a resigned employee.
Off Boarding,Employee Leaving,Off boarding ticket for a resigned or resigning employee.
Off Boarding,Item Retrieval,Any ticket related to the retrieval of and request to receive an asset from a resigned employee
Notification,New Client,Ticket notification regarding a new client.
Notification,Lease Extension,Ticket notification regarding a client’s lease extension.
Notification,Client Move out,Ticket notification regarding a client move out.
Notification,Emergency Maintenance,Any request related to emergency maintenance notification
Notification,ISP Maintenance,Any request related to ISP maintenance notification
Notification,Network Maintenance,Any request related to network maintenance notification
Notification,Power Maintenance,Any request related to power maintenance notification
Notification,VoIP Maintenance,Any request related to Voice maintenance notification
Notification,SMS Notification,
Non-IT Asset Tag,Asset tag number issuance,"Any tickets related to asset tag number creation, printing and issuance to site."
Non-IT Asset Tag,Reprinting,Any tickets related reprinting of existing asset tag number.
Non-IT Asset Tag,Asset tag tracing,Any tickets related to asset tag tracing.
Non-IT Asset Tag,Asset tag number re-issuance due to transfer ownership,Any tickets related to asset tag number re-issuance for transfer of ownership.
Non-IT Asset Tag,Asset Counting,Any tickets related to asset inventory.
Non-IT Asset Tag,Asset tag tagging,Any tickets related to asset tag tagging in site.
Non-IT Asset Service Delivery,Vendor Assessment?,N/A. This is general category and breakdown is provided below.
Non-IT Asset Service Delivery,Project Estimate?,N/A. This is general category and breakdown is provided below.
Non-IT Asset Service Delivery,Project Costing?,N/A. This is general category and breakdown is provided below.
Non-IT Asset Service Delivery,Project Awarding?,N/A. This is general category and breakdown is provided below.
Non-IT Asset Record,Asset record creation,Any tickets related to asset record creation in OSP/AMF.
Non-IT Asset Record,Asset record update,Any tickets related to asset updating in OSP/AMF.
Non-IT Asset Record,Asset record retirement,Any tickets related to asset removal in OSP.
Non-IT Asset Record,Asset record retrieval,Any tickets related to asset retrieval in OSP.
Non-IT Asset Movement,Office-to-Office Transfer,Any tickets related to asset transfer from office to office.
Non-IT Asset Movement,Site-to-Site Transfer,Any tickets related to asset transfer from site to site.
Non-IT Asset Movement,Site-to-Facilities for repair,Any tickets related to asset transfer from site to facilities.
Non-IT Asset Movement,Facilities - Site,Any tickets related to asset transfer from facilities to site
Non-IT Asset Movement,Facilities - Vendor,Any tickets related to asset transfer from facilities to vendor.
Non-IT Asset Movement,KMC Casa,Any tickets related to assets for work from home clients.
Non-IT Asset Movement,For disposal - Donation,Any tickets related to disposal of asset through donation.
Non-IT Asset Movement,For disposal - Sale,Any tickets related to disposal of asset through KMC store.
Non-IT Asset Movement,For disposal - Scrap,Any tickets related to disposal of asset through scrap buyer.
Non-IT Asset Movement,Warehouse-to-Site Transfer,Any tickets related to asset transfer from warehouse storage to site
Non-IT Asset Movement,Site-to-Warehouse Transfer,Any tickets related to asset transfer from site to warehouse storage.
Non-IT Asset Movement,Asset reservation,Any tickets related to asset inquiry and reservation of asset.
Non-IT Asset Movement,Asset preparation,Any tickets related to asset preparation prior to delivery.
Non-IT Asset Movement,KMC Casa - Delivery,Any tickets related to asset delivery from site to work from home client.
Non-IT Asset Movement,KMC Casa - Retrieval,Any tickets related to asset delivery from work from home client to site.
Non-IT Asset Movement,For disposal - Adhoc Buyer Canvass,Any tickets related to canvassing of asset for buyers.
Non-IT Asset Movement,For disposal - Adhoc Storage Canvass,Any tickets related to canvassing of asset storage vendors.
Non-IT Asset Movement,For disposal - Adhoc Shipping Canvass,Any tickets related to canvassing of asset shipping vendors.
Non-IT Asset Compliance,PEZA Farm In,Any tickets related to farm-in processing to PEZA.
Non-IT Asset Compliance,PEZA Farm Out,Any tickets related to farm-out processing to PEZA.
Non-IT Asset Compliance,PEZA Documents or Records retrieval,Any tickets related to records retrieval of PEZA documents.
Non-IT Asset Compliance,PEZA Documents - LOA Liquidation,Any tickets related to letter of approval liquidation.
Non-IT Asset Compliance,PEZA Documents - Late Filing : Summary List,Any tickets related to providing summary list for late filing.
Non-IT Asset Compliance,PEZA Documents - Forms Liquidation,Any tickets related to form ledger liquidation.
Non-IT Asset Compliance,PEZA Documents - Inventory List : Client assigned asset,Any tickets related to inventory list for assigned asset.
Non-IT Asset Compliance,PEZA Documents - Inventory List : Farm Out,Any tickets related to inventory list for farm out.
Non-IT Asset Compliance,PEZA Farm In - Assumed Assets,Any tickets related to farmed-in of assumed assets.
Non-IT Asset Compliance,PEZA Farm In - Late Filing,Any tickets related to farmed-in for late filing of assets.
Non-IT Asset Compliance,"PEZA Farm In - New Assets (Aeropark, Cebu, Iloilo, Bacolod)",Any tickets related to farm-in of new asset outside NCR or Metro Manila.
Non-IT Asset Compliance,PEZA Farm In - New Assets (NCR),Any tickets related to farm-in of new asset within NCR or Metro Manila.
Non-IT Asset Compliance,PEZA Farm In - Transferred Assets,Any tickets related to farm-in of transferred asset.
Non-IT Asset Compliance,PEZA Farm Out - Delisting,Any tickets related to farm-out delisting of site.
Non-IT Asset Compliance,PEZA Farm Out - Disposal : Sell to Buyer,Any tickets related to disposal of asset through buyer.
Non-IT Asset Compliance,PEZA Farm Out - Disposal : Sell to Non PEZA,Any tickets related to disposal of asset through non-peza site.
Non-IT Asset Compliance,PEZA Farm Out - Transfer : Zone to Zone,Any tickets related to disposal of asset through zone to zone.
Non-IT Asset Compliance,PEZA Inspection Request,Any tickets related to PEZA inspection request.
Non-IT Asset Compliance,PEZA Farm Out - Transfer : Ownership,Any tickets related to disposal of asset through ownership.
New Hire Shadowing,ACS,Any ticket requesting shadowing with the ACS Team
New Hire Shadowing,Asset Management,Any ticket requesting shadowing with the Asset Team
New Hire Shadowing,CCTV,Any ticket requesting shadowing with the CCTV Team
New Hire Shadowing,Network,Any ticket requesting shadowing with the NOC
New Hire Shadowing,OSS / Deployment,Any ticket requesting shadowing with the OSS and Deployment Team
New Hire Shadowing,PCO,Any ticket requesting shadowing with the PCO
New Hire Shadowing,Procurement,Any ticket requesting shadowing with the Procurement Team
New Hire Shadowing,Product Development,Any ticket requesting shadowing with the Dev Team
New Hire Shadowing,Service Desk,Any ticket requesting shadowing with the Service Desk Team
New Hire Shadowing,Systems,Any ticket requesting shadowing with the Server Team
New Hire Shadowing,TPMO,Any ticket requesting shadowing with the TPMO
New Hire Shadowing,Voice / Email,Any ticket requesting shadowing with the Voice and Email Team
Network Security,High Severity Alert,
Network Security,Low Severity Alert,
Network Security,Vulnerability Assessment,Any tickets associated with the assessment and identification of vulnerabilities in Network Security. Mostly an internally planned/scheduled evaluation.
Network Security,Vulnerability Remediation,Any tickets regarding network security concerns or findings that require attention from either the SOC (Security Operations Center) or the Network Team.
Network and Infrastructure Design,IP Request,"Tickets relating to IP Addressing for hosts in network, both Public and Private IPs"
Network and Infrastructure Design,Traffic Engineering,"Tickets relating to access rules, routing, switching, and the likes"
Network and Infrastructure Design,Client High Level Network Design,Tickets for creation of high level network map for clients
Network and Infrastructure Design,Client Requirement Discovery,Tickets for request of the presence of Design Team during Discovery calls for clients
Network,Connection Issue,Tickets related to an internet issue (LAN & wireless connection).
Network,Connection Checking,"Request to run network testing (ping test, trace route, speed test)."
Network,General Network Activity,Any network-related activity that is not on the list.
Network,Maintenance,Ticket for any network-related maintenance.
Network,Monitoring Alerts,Ticket for the network alerts from SolarWinds.
Network,Network Diagram Creation/Update,Creation/Updating of internal network diagram (KMC infrastructure)
Network,Network Gear Mount/Unmount,Ticket for mounting or unmounting any network device in the server rack.
Network,Operational Readiness Test,Ticket for Operational Readiness Test (ORT).
Network,Port Tracing,Ticket for a port tracing activity.
Network,Report Generation,"Request for a network report (bandwidth utilization, etc)."
Network,Site Build,Network-side site build tickets.
Network,SSID Creation/Removal,Request for creation/removal of SSID.
Network,VLAN Change/Create,Request for VLAN changing/creating
Network,Website Issue,Tickets related any website issue.
Network,Whitelist/Blacklist,Request to whitelist or blacklist a URL. Ticket for the creation of access rules.
Network,Wired/Wireless Connection,Request to be connected to the WiFi or LAN.
MKTG Website/ Online Activities,Social Media/ Web Posting Request,Tickets for requesting the posting of content on social media platforms or websites.
MKTG Website/ Online Activities,"Email Blasting (to clients, external, etc)",Tickets for requesting the distribution of marketing emails to clients or external contacts.
MKTG Website/ Online Activities,Website Content Revisions,Tickets for requesting revisions to website content for marketing purposes.
MKTG Website/ Online Activities,Website Design Revisions,Tickets for requesting revisions to website design elements for marketing purposes.
MKTG Website/ Online Activities,Website Design Creation,Tickets for requesting the creation of new website designs for marketing campaigns.
MKTG Website/ Online Activities,Website Service Error Troubleshooting,Tickets for troubleshooting and resolving errors on the marketing department's website.
MKTG TV Advertisement,Request for Approval,"Tickets for obtaining approvals for marketing campaigns, materials, or strategies."
MKTG Marketing Supplies,"Supplies Distribution/ Acquisition (Flyers, stickers, Tarps, etc.)","Tickets for acquiring or distributing marketing supplies such as flyers, stickers, or tarps."
MKTG Marketing Supplies,Borrowing of Equipment,Tickets for requesting the borrowing of equipment needed for marketing activities.
MKTG KMC Web Account Access/ Creation Request,Social Media Access,Tickets for requesting access to social media accounts for marketing purposes.
MKTG KMC Web Account Access/ Creation Request,"Third Party Account Access (Google, Paypal, Mailchimp, Website, etc.)",Tickets for requesting access to third-party accounts necessary for marketing activities.
MKTG KMC Web Account Access/ Creation Request,Hubspot Account Access/creation/ Revision,"Tickets related to HubSpot account management, including access, creation, or revision."
MKTG KMC Web Account Access/ Creation Request,Hubspot Reports Creation,Tickets for creating reports using HubSpot for marketing analytics and insights.
MKTG Creatives & Content (Graphics Creation Request),Production Request,Tickets related to requesting production services for marketing materials
MKTG Creatives & Content (Graphics Creation Request),Signage Request,Tickets related to requesting the creation or installation of signage for marketing purposes.
MKTG Creatives & Content (Graphics Creation Request),Creative Collateral Request,"Tickets for requesting the creation of creative collateral materials such as posters, infographics, or presentations."
MKTG Content/Copy,Website landing page Content,Tickets for creating or updating content on website landing pages.
MKTG Content/Copy,Articles/essays Content,Tickets for creating or editing written content such as articles or essays for marketing purposes.
MKTG Content/Copy,Ads/image copy,Tickets for creating or editing advertising copy or imagery for marketing campaigns.
MKTG Content/Copy,Social media captions - 1 day,Tickets for creating or editing social media captions for posts within a short timeframe.
MKTG Content/Copy,Emails,Tickets for creating or editing email content for marketing campaigns.
LEGAL & COMPLIANCE (INTERNAL),OFFSHORE (FOREIGN) CLIENT CONCERNS,Inquiries for processing and scope of Offshore registrations and insurance
LEGAL & COMPLIANCE (INTERNAL),OTHERS - LEGAL & COMPLIANCE RELATED,"General inquiries for process, advisory and other concerns"
L&C REQUEST FOR DOCUMENTS,CRIMINAL/CIVIL/LABOR CASES CONCERNS,"Tickets for concerns related to criminal, civil, or labor cases."
L&C REQUEST FOR DOCUMENTS,KYC,Tickets related to Know Your Customer (KYC) processes for client identification and verification.
L&C REQUEST FOR DOCUMENTS,VENDOR ACCREDITATION/DUE DILIGENCE,Tickets related to vendor accreditation or due diligence processes.
L&C REQUEST FOR DOCUMENTS,LOAN AGREEMENTS,Tickets related to reviewing or drafting loan agreements.
L&C REQUEST FOR DOCUMENTS,INTERNAL AUDITS (PWC),"Tickets related to internal audit processes, possibly involving external auditors such as PricewaterhouseCoopers (PWC)."
L&C REQUEST FOR DOCUMENTS,BUSINESS REGISTRATION PROCESSING FOR,Request for LGU permits applicable for NEW SITES AND COMPANIES
L&C REQUEST FOR DOCUMENTS,IMPORTATION (IMPORT PERMIT),Request for new BOC COR application applicable for
L&C REQUEST FOR DOCUMENTS,PEZA REGISTRATION,Tickets related to the registration process with the PEZA.
L&C REQUEST FOR DOCUMENTS,PEZA CERTIFICATIONS/INCENTIVES PROCESSING FOR CLIENTS,Tickets for processing PEZA certifications or incentives specifically for clients.
L&C REQUEST FOR DOCUMENTS,PEZA CERTIFICATIONS/INCENTIVES PROCESSING-INTERNAL,Tickets for processing PEZA certifications or incentives for internal purposes.
L&C REQUEST FOR DOCUMENTS,BIR PROCESSING REQUESTS,Tickets for processing requests or inquiries related to the Bureau of Internal Revenue (BIR).
L&C REQUEST FOR DOCUMENTS,OFFSHORE (FOREIGN) CLIENT PROCESSING REQUESTS,Tickets for processing requests or inquiries related to offshore or foreign clients.
L&C REQUEST FOR DOCUMENTS,INSURANCE CLAIMS PROCESSING,
L&C REQUEST FOR DOCUMENTS,"OTHER PROCESSING REQUESTS RELATED TO LGU, BIR, PEZA, DOLE, BOC COMPLIANCE",
L&C REQUEST FOR DOCUMENTS,REQUEST FOR COPIES OF CONTRACTS,Tickets for requesting copies of contracts or agreements.
L&C PROCESSING REQUEST,SEC/CORPORATE DOCUMENTS,Tickets for processing or handling SEC or corporate documents.
L&C PROCESSING REQUEST,LETTER DRAFTING REQUESTS,Tickets for drafting legal letters or correspondence.
L&C PROCESSING REQUEST,PEZA CERTIFICATIONS / INCENTIVES FOR,Tickets for processing PEZA certifications or incentives.
L&C PROCESSING REQUEST,BUSINESS & OTHER LGU PERMITS FOR,Request on a copy of the LGU permits
L&C PROCESSING REQUEST,BIR/DOLE/FSIC/INSURANCE/BUILDING ADMIN CERTIFICATES/PERMITS FOR :,Request on a copy of permits and certifications
L&C PROCESSING REQUEST,PEZA CERTIFICATIONS FOR CLIENTS,Tickets for processing PEZA certifications specifically for clients.
L&C PROCESSING REQUEST,OFFSHORE (FOREIGN) CLIENT DOCUMENT REQUESTS,Ticket request for a copy of registration and offshore insurance coverage
L&C PROCESSING REQUEST,OTHER DOCUMENT REQUESTS,"Request for other documents needed for clients, government agencies and private sector"
L&C ADVISORY/INQUIRIES,GENERAL LEGAL/COMPLIANCE ADVICE,Tickets for seeking general legal or compliance advice.
L&C ADVISORY/INQUIRIES,VISA PROCESSING (REQUIREMENTS),Tickets related to visa processing requirements for employees or clients.
L&C ADVISORY/INQUIRIES,CONTRACT REVIEW,Tickets for reviewing contracts or agreements for legal compliance and risk assessment.
L&C ADVISORY/INQUIRIES,INTELLECTUAL PROPERTY CONCERNS,Tickets related to concerns regarding intellectual property rights or protection.
L&C ADVISORY/INQUIRIES,AMLA CONCERNS,Tickets related to concerns or inquiries about AMLA compliance.
L&C ADVISORY/INQUIRIES,BSP CONCERNS,Tickets related to concerns or inquiries about compliance with regulations from theBSP.
L&C ADVISORY/INQUIRIES,DATA PRIVACY CONCERNS,Tickets related to concerns or inquiries about compliance with data privacy laws and regulations.
L&C ADVISORY/INQUIRIES,CONSTRUCTION AGREEMENTS,Tickets related to reviewing or drafting construction agreements or contracts.
L&C ADVISORY/INQUIRIES,TAX RELATED INQUIRIES/ADVISORY - LOCAL (LGU'S) & NATIONAL (BIR),Tickets related to tax-related inquiries or seeking advisory on tax matters at the local or national level.
L&C ADVISORY/INQUIRIES,IMPORTATION (REQUIREMENTS) INQUIRIES,Request for the list of requirement for the BOC COR application
L&C ADVISORY/INQUIRIES,BANK ACCOUNT OPENING INQUIRIES,Inquiries on the process and requirements needed for the bank opening
L&C ADVISORY/INQUIRIES,OFFSHORE (FOREIGN) CLIENT INQUIRIES,"Inquiries on the CyberEdge, D&O, and PI insurance"
L&C ADVISORY/INQUIRIES,OTHER ADVISORY/INQUIRY - LEGAL MATTERS / OPINIONS,Tickets for seeking advice or opinions on other legal matters not covered by specific categories.
L&C ADVISORY/INQUIRIES,OTHER ADVISORY/INQUIRY - COMPLIANCE RELATED,"Request for the process, implications and advisory for PEZA, BOI, CDC, LGU, and CLIENTS"
L&C ADVISORY/INQUIRIES,INQUIRY/ADVISORY FOR PEZA - CLIENTS,Tickets for seeking inquiries or advisory related to PEZA compliance for clients.
L&C ADVISORY/INQUIRIES,BUSINESS PERMIT APPLICATION (REQUIREMENTS) FOR:,Request for the process and list of requirments needed for the LGU permits
L&C ADVISORY/INQUIRIES,BIR/PEZA/LGU/FSIC/DOLE/INSURANCE RELATED INQUIRIES FOR,Inquiry on the scope and coverage of Government and Insurance
HRDT - Requested Report,Complicated Report,"Tickets for requesting complex data reports, such as headcount or other specialized reports."
HRDT - Requested Report,Simple Report,Tickets for requesting straightforward data reports that are easily extracted from the systems.
HRDT - Others,Exit Management Concern,Tickets for handling clearance and other offboarding documentation requirements.
HRDT - Others,Employement Verification,Tickets for providing employment verification for loan applications and other purposes.
HRDT - HRIS,HRIS - Approver Account Creation,"Tickets for creating approver accounts in HRIS, with access levels tailored to the user's requirements."
HRDT - HRIS,HRIS - Offboarding,"Tickets for deactivating accounts and removing agents under immediate supervisors' jurisdiction in HRIS, including managing withdrawal notices from new hires."
HRDT - HRIS,HRIS - Work Information Update,"Tickets for updating immediate supervisor or approver information, modifying work schedules, adjusting start dates, and altering approval process flows."
HRDT - HRIS,EAA Updates,"Tickets for updating employment-related data such as regularization status, salary adjustments, changes in position, and HMO details."
HRDT - HRIS,Other HRIS Concerns,"Tickets for addressing various concerns, including issues related to web bundy, errors in request filing, adjustments to access levels, and inquiries about administration tools such as report generation and bulk uploads."
HRDT - HRBP Requests,HRIS Log in Issue,"Tickets for resolving issues related to inaccessible or locked HRIS accounts, as well as concerns regarding credentials."
HRDT - HRBP Requests,ID/Badge Card Request,"Tickets for requesting ID replacements, addressing inaccuracies, and arranging for the delivery or retrieval of IDs."
HRDT - Data Updating,Inaccurate Data Correction,Tickets for correcting any inaccuracies in HRIS and ERP.
HRDT - Data Updating,Personal Data Updating,"Tickets for updating personal information such as civil status, name changes, and contact details."
Hardware,Cable Management,Request to do a cable management.
Hardware,Data Center UPS/PDU Issue,Issue with a UPS and PDU in the server room.
Hardware,Desktop UPS Issue,Issue with a desktop UPS.
Hardware,Desktop/Laptop Problem,Any issue with a desktop or laptop.
Hardware,Desktop/Laptop Setup,Request to setup a desktop or laptop.
Hardware,Device/Equipment Checking,"Any ticket requesting to check an equipment to determine if the unit is still in good working condition for possible re-deployment or components upgrade. May also be used for asset maintenance | Additional sub-category usage: Physical checking of all kinds of hardware devices (network device, IP phones, biometric devices) to possibly identify their status"
Hardware,Equipment Loan/Retrieval,"Ticket requesting to borrow IT assets such as laptop, mouse, other peripherals, etc. and retrieval of hardware that's not from a resigned employee"
Hardware,Joan Device,"Ticket related the Joan device like low battery, charging request, calendar syncing, and other requests/issues. Initial troubleshooting must assign to OSS first."
Hardware,Peripherals,"Any request or issue related computer peripherals and cables like HDMI, LAN, etc."
Hardware,Raspberry Pi/Hygrometer,"Any request or issue related to the EpicOS, Raspberry Pi, and Hygrometer"
Hardware,Sonos,Any request or issue related to the sonos device
Hardware,Tablet,Any issue or request related to the tablet deployed in the reception area
Hardware,TV/Projector/Sound System,"Any request or issue related to the TV, Projector, Speaker, or Mic (ex. projector setup, laptop to TV connection, etc)"
Hardware,Video Conference,Any request or issue related to the video conferencing device located on boardrooms
General Assistance,Data Center Access,Request assistance to access the server room.
General Assistance,General Inquiry,Any ticket requesting or seeking information or updates. This can be used by all technician groups except those groups that already has the 'General' sub-category on their dedicated category (i.e ACS > TS Biometric > General Biometric Services). Also used for Grab booking assistance.
General Assistance,On-site Assistance,Other on-site/physical assistance done by the OSS that doesn't have a dedicated category. Only use this if there are no applicable categories/sub-categories
General Assistance,Port Checking,Tickets related to port checking and issue.
General Assistance,Pull-In/Out Assistance,Request assistance for pulling in and out of IT assets. This is also used for dismantling requests leading to pulling out of assets (WFH employees).
General Assistance,Site Walkthrough / Round Check,"Ticket for site walkthroughs, site surveys, and round checking."
Food Allowance,Deployment/Movement,Request for a food allowance during a deployment/movement activity (assign to either Sir Jupiter or Ms Majo)
Food Allowance,Maintenance,Request for a food allowance during a maintenance activity (assign to either Sir Jupiter or Ms Majo)
Food Allowance,Meeting,Request for a food allowance during a meeting (assign to either Sir Jupiter or Ms Majo)
FM Support,Request for Measurements / Count / Inspection / Inventory,
FM Support,Assist Vendor/Clients & Others,"Requests for assistance to vendors, clients, or other parties."
FM Support,Request to Update Plans/Layout,Requests to update plans or layouts.
FM Support,Request for Hauling/Delivery of Assets,Requests for hauling or delivery of assets.
FM Support,Request for Join Inspection/Punchlist/Turn-Over,
FM Support,Others,
FM Site walkthrough,Request for Join Inspection/Punchlist/Turn-Over,
FM Showreadiness,Repainting or Rectification Works (24 sq.m wall),
FM Showreadiness,Common Area Show Ready (20 sq.m area),
FM Showreadiness,15 to 30 Seater Show Ready Room,
FM Repair & Maintenance,Electrical / Lighting & Plumbing Concerns & Request,
FM Repair & Maintenance,Fire Protection Concerns & Request,
FM Repair & Maintenance,Acoustic Board Replacement/Realignment,
FM Repair & Maintenance,Report or Follow up Concerns and Warranty Issues to BA / Gencon / Vendors & Others,
FM Repair & Maintenance,Request for Equipment PM / Update PM Checklist / Form or Tagging),
FM Repair & Maintenance,Facilities and Signage’s Concerns & Request (Repair/Replacement /Assembly/Set-up/Installation/ Modification/Improvement),
FM Repair & Maintenance,"Furniture, Appliance, Fixtures & Accessories Concerns & Reques",
FM Renovation,Electrical/Mechanical Major Works (Repair/Replacement/Modification/Improvement),"Major repair, replacement, modification, or improvement of electrical or mechanical systems."
FM Project Management,Office Wall Installation,Installation of office walls
FM Project Management,Office Wall Demolition,removal of office walls.
FM Project Management,Workstation Installation,Setting up office workstations.
FM Project Management,Workstation Dismantling,dismantling office workstations.
FM Project Management,Furniture Set-up,Setting up office furniture.
FM Project Management,Workstation Partition Installation,Installation of workstation partitions.
FM Project Management,Workstation Partition Dismantling,removal of workstation partitions.
FM Project Management,Office Modification,Requests for modifying office layouts or structures.
FM Plumbing,Bidet/Faucet Repair/Replacement,Repairing or replacing bidets or faucets.
FM Plumbing,Faucet/Cubicle Leak,Addressing leaks in faucets or cubicles.
FM Plumbing,Continous Flushing,Troubleshooting and resolving continuous flushing issues in toilets.
FM Plumbing,Cleaning/Unclogging of Sanitary Line,Clearing clogs or obstructions in sanitary line
FM Plumbing,Others,
FM Mechanical,Aircon Water Leak,Reporting and addressing water leakage issues in air conditioning systems.
FM Mechanical,Aircon Error,Troubleshooting and resolving errors or malfunctions in air conditioning units.
FM Mechanical,Aircon System - General Cleaning,Regular cleaning and maintenance of air conditioning systems.
FM Mechanical,Aircon System - Filter Cleaning,Cleaning and maintenance of air conditioning filters
FM Mechanical,Aircon System - Repair,Repairing malfunctioning air conditioning systems.
FM Mechanical,Drain Line Sloping Check/Vacuuming,Checking and cleaning drain lines to prevent clogs or leaks.
FM Mechanical,Others,
FM Fire Protection,Fire Extinguisher Checking,Requests for inspection and maintenance of fire extinguishers.
FM Fire Protection,Escutheon Plate Installation,Installation of escutcheon plates for fire safety equipment.
FM Fire Protection,Troubleshooting of Defective Smoke Detector,Diagnosing and resolving issues with smoke detectors.
FM Fire Protection,Troubleshooting of FDAS Panel,Diagnosing and resolving issues with Fire Detection and Alarm System (FDAS) panels.
FM Fire Protection,Preventive Maintenance of FDAS System,Scheduled maintenance tasks for the FDAS system to prevent failures.
FM Fire Protection,Others,
FM Emergency,Incident Report,Reporting incidents or accidents within the premises
FM Emergency,Emergency Repair,Urgent repair requests requiring immediate attention.
FM Electrical,Power Outage,Reports or requests related to power failures or outages.
FM Electrical,Busted Light Replacement,Tickets for replacing damaged or malfunctioning lights.
FM Electrical,Outlet Installation,Requests for the installation of new electrical outlets.
FM Electrical,TV Installation,Requests for the setup and installation of televisions.
FM Electrical,Resetting of Circuit Breaker,Tickets involving the resetting of circuit breakers.
FM Electrical,Electricity Consumption Computation,Requests for calculating electricity consumption.
FM Electrical,Lighting Upgrade,Requests for upgrading lighting fixtures or systems.
FM Electrical,Electrical Troubleshooting,Tickets concerning the diagnosis and resolution of electrical issues.
FM Electrical,Replacement/Repair of Emergency Lights/Exit Signages,Requests for repairing or replacing emergency lights or exit signages.
FM Electrical,Others,
FM Costing Request,Canvass,Requests for obtaining price quotations from various sources.
FM Costing Request,"Costing from KMC, Contractor or Supplier",Requests for obtaining price quotations from various sources.
FM Civil,Wall Repainting (Less than 20sqm),Any tickets releated for repainting walls covering an area of less than 20 square meters.
FM Civil,Wall Repainting (Above 20sqm),Any tickets for repainting walls covering an area of 20 square meters or more.
FM Civil,Base Board Repair/Repainting,Any tickets involving the repair or repainting of baseboards.
FM Civil,Wall Crack Rectification,Any Requests related to the repair or correction of cracks in walls.
FM Civil,Floor Crack Rectification,Any Tickets concerning the repair or correction of cracks in floors.
FM Civil,Cabinet/Joineries Repair,Any tickets Requests for repair work on cabinets or joineries within the premises.
FM Civil,Door Laminate Repair,Any tickets involving the repair or replacement of laminates on door
FM Civil,Acoustic Board Replacement/Realignment,Any tickets for the replacement or realignment of acoustic boards within the space.
FM Civil,Door Jamb Repair/Repainting,Any Tickets concerning the repair or repainting of door jambs
FM Civil,Others,
FM Cabling,Bio Repair,Any ticket related to the biometric device and magnetic lock checking and repair request
FM Cabling,Bio Installation/Uninstallation,Any request related to the biometric device and magnetic lock installation and uninstallation
FM Cabling,CCTV Installation/Uninstallation,Any ticket related to the CCTV and DVR installation and uninstallation
FM Cabling,CCTV Repair,Any ticket related to the CCTV and DVR checking and repair request
FM Cabling,General Cabling Works,Any ticket related to cabling works which is not included on the list
FM Cabling,Port Additional,Any request related to additional port/cable
FM Cabling,Port Relocation,Any request related to port/cable relocatio
FM Cabling,Port Repair,Any ticket related to port repair
FM Cabling,Quotation Request,ny ticket related to quotation/costing request
FM Cabling,Site Build Layout,"Any request related for new site builds layout (CCTV, Speaker)"
FM Cabling,Switch Backup Power Supply,Any request related to power supply
FM Cabling,UPS Preventive Maintenance,Any request related to UPS Semi Annual Preventive maintenance
FM Cabling,UPS/PDU Failure,Any issue related to PDU/PS
ENG Odoo,Incident Report,Reporting incidents or accidents within the premises
ENG Odoo,Emergency Repair,Urgent repair requests requiring immediate attention.
ENG Odoo,Power Outage,Reports or requests related to power failures or outages.
ENG Odoo,Resetting of Circuit Breaker,Tickets involving the resetting of circuit breakers.
ENG Odoo,Electrical Troubleshooting,Tickets concerning the diagnosis and resolution of electrical issues.
ENG Odoo,Aircon Error,Troubleshooting and resolving errors or malfunctions in air conditioning units.
ENG Odoo,Drain Line Sloping Check/Vacuuming,Checking and cleaning drain lines to prevent clogs or leaks.
ENG Odoo,Wall Crack Rectification,Any Requests related to the repair or correction of cracks in walls.
ENG Odoo,Troubleshooting of FDAS Panel,Diagnosing and resolving issues with Fire Detection and Alarm System (FDAS) panels.
ENG Odoo,Bidet/Faucet Repair/Replacement,Repairing or replacing bidets or faucets.
ENG Odoo,Faucet/Cubicle Leak,Addressing leaks in faucets or cubicles.
ENG Odoo,Continous Flushing,Troubleshooting and resolving continuous flushing issues in toilets.
ENG Odoo,Busted Light Replacement,Tickets for replacing damaged or malfunctioning lights.
ENG Odoo,TV Installation,Any ticket related to the CCTV and DVR installation and uninstallation
ENG Odoo,Replacement/Repair of Emergency Lights/Exit Signages,Requests for repairing or replacing emergency lights or exit signages.
ENG Odoo,Aircon System - General Cleaning,Regular cleaning and maintenance of air conditioning systems.
ENG Odoo,Aircon System - Filter Cleaning,Cleaning and maintenance of air conditioning filters
