Department,Tech Group,Sub-Category_x,Priority,Description,assistant (For Getlogs only),Category,Sub-Category_y
Customer Success,Customer Success,Van Repairs & Maintenance,P2 - Admin,Coordination of van repairs and maintenance,,CS Odoo,Van Repairs & Maintenance
Customer Success,Customer Success,Repairs and Maintenance Request,P2 - Admin,Handling general repair and maintenance requests,,CS Odoo,Repairs and Maintenance Request
Customer Success,Customer Success,Visitor Access Request,P2 - Admin,Managing requests for visitor access,,CS Odoo,Visitor Access Request
Customer Success,Customer Success,Approval Request,P2 - Admin,Handling requests for approvals,,CS Odoo,Approval Request
Customer Success,Customer Success,Costing Request,P2 - Admin,Requests for cost estimations or quotations,,CS Odoo,Costing Request
Customer Success,Customer Success,Info or Document Request,P2 - Admin,Requests for information or documents,,CS Odoo,Info or Document Request
Customer Success,Customer Success,Phone / Sim Requests,P2 - Admin,Handling requests related to phones or SIM cards,,CS Odoo,Phone / Sim Requests
Customer Success,Customer Success,Orientation / Training Request,P2 - Admin,Requests for orientation or training sessions,,CS Odoo,Orientation / Training Request
Customer Success,Customer Success,Assistance,P2 - Admin,Providing general assistance as needed,,CS Odoo,Assistance
Customer Success,Customer Success,Access Cards / Room or Office Access Requests,P2 - Admin,Managing requests for access cards or office access,,CS Odoo,Access Cards / Room or Office Access Requests
Customer Success,Customer Success,PME Concerns,P2 - Admin,Addressing concerns related to Performance Management Evaluation (PME).,,CS Odoo,PME Concerns
Customer Success,Customer Success,APE Concerns,P2 - Admin,Addressing concerns related to Annual Performance Evaluation (APE).,,CS Odoo,APE Concerns
Customer Success,Customer Success,Safety Concerns,P2 - Admin,Reporting safety concerns within the premises.,,CS Odoo,Safety Concerns
Customer Success,Customer Success,Other Medical Concerns,P2 - Admin,Handling other medical-related concerns.,,CS Odoo,Other Medical Concerns
Customer Success,Customer Success,Checklists & Reports,P2 - Admin,Managing checklists and generating reports as needed.,,CS Odoo,Checklists & Reports
Customer Success,Customer Success,SSS Concerns,P2 - Admin,Addressing concerns related to Social Security System (SSS).,,CS Odoo,SSS Concerns
Customer Success,Customer Success,New Hire Kit Request,P2 - Admin,Handling requests for new hire kits.,,CS Odoo,New Hire Kit Request
Customer Success,Customer Success,Invoices,P2 - Admin,Handling inquiries or requests related to invoices.,,CS Odoo,Invoices
Customer Success,Customer Success,Gatepass Request,P2 - Admin,Handling requests for pull in/out gatepasses.,,CS Odoo,Gatepass Request
Document Controller,Document Controller,DC Request for Document number of  new ISO process,P1 - Document Controller,Tickets for requesting document numbers for new ISO processes.,,Document Controller,DC Request for Document number of new ISO process
Document Controller,Document Controller,DC Request to update/upload ISO process,P1 - Document Controller,Tickets for requesting updates or uploads of ISO processes.,,Document Controller,DC Request to update/upload ISO process
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,,FM Cabling,Bio Repair
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,,ENG Odoo,Bio Repair
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,,FM Cabling,Bio Installation/Uninstallation
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,,ENG Odoo,Bio Installation/Uninstallation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,FM Cabling,CCTV Installation/Uninstallation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,ENG Odoo,TV Installation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,ENG Odoo,CCTV Installation/Uninstallation
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,,FM Cabling,CCTV Repair
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,,ENG Odoo,CCTV Repair
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,,FM Cabling,General Cabling Works
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,,ENG Odoo,General Cabling Works
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,,FM Cabling,Port Additional
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,,ENG Odoo,Port Additional
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,,FM Cabling,Port Relocation
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,,ENG Odoo,Port Relocation
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,,FM Cabling,Port Repair
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,,ENG Odoo,Port Repair
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,,FM Cabling,Quotation Request
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,,ENG Odoo,Quotation Request
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",,FM Cabling,Site Build Layout
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",,ENG Odoo,Site Build Layout
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,,FM Cabling,Switch Backup Power Supply
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,,ENG Odoo,Switch Backup Power Supply
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,,FM Cabling,UPS Preventive Maintenance
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,,ENG Odoo,UPS Preventive Maintenance
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,,FM Cabling,UPS/PDU Failure
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,,ENG Odoo,UPS/PDU Failure
Engineering,Engineering,Wall Repainting (Less than 20sqm),P1 - Facilities,Any tickets releated for repainting walls covering an area of less than 20 square meters.,,FM Civil,Wall Repainting (Less than 20sqm)
Engineering,Engineering,Wall Repainting (Less than 20sqm),P1 - Facilities,Any tickets releated for repainting walls covering an area of less than 20 square meters.,,ENG Odoo,Wall Repainting (Less than 20sqm)
Engineering,Engineering,Wall Repainting (Above 20sqm),P1 - Facilities,Any tickets for repainting walls covering an area of 20 square meters or more.,,FM Civil,Wall Repainting (Above 20sqm)
Engineering,Engineering,Wall Repainting (Above 20sqm),P1 - Facilities,Any tickets for repainting walls covering an area of 20 square meters or more.,,ENG Odoo,Wall Repainting (Above 20sqm)
Engineering,Engineering,Base Board Repair/Repainting,P1 - Facilities,Any tickets involving the repair or repainting of baseboards.,,FM Civil,Base Board Repair/Repainting
Engineering,Engineering,Base Board Repair/Repainting,P1 - Facilities,Any tickets involving the repair or repainting of baseboards.,,ENG Odoo,Base Board Repair/Repainting
Engineering,Engineering,Wall Crack Rectification,P1 - Facilities,Any Requests related to the repair or correction of cracks in walls.,,FM Civil,Wall Crack Rectification
Engineering,Engineering,Wall Crack Rectification,P1 - Facilities,Any Requests related to the repair or correction of cracks in walls.,,ENG Odoo,Wall Crack Rectification
Engineering,Engineering,Floor Crack Rectification,P1 - Facilities,Any Tickets concerning the repair or correction of cracks in floors.,,FM Civil,Floor Crack Rectification
Engineering,Engineering,Floor Crack Rectification,P1 - Facilities,Any Tickets concerning the repair or correction of cracks in floors.,,ENG Odoo,Floor Crack Rectification
Engineering,Engineering,Cabinet/Joineries Repair,P1 - Facilities,Any tickets Requests for repair work on cabinets or joineries within the premises.,,FM Civil,Cabinet/Joineries Repair
Engineering,Engineering,Cabinet/Joineries Repair,P1 - Facilities,Any tickets Requests for repair work on cabinets or joineries within the premises.,,ENG Odoo,Cabinet/Joineries Repair
Engineering,Engineering,Door Laminate Repair,P1 - Facilities,Any tickets involving the repair or replacement of laminates on door,,FM Civil,Door Laminate Repair
Engineering,Engineering,Door Laminate Repair,P1 - Facilities,Any tickets involving the repair or replacement of laminates on door,,ENG Odoo,Door Laminate Repair
Engineering,Engineering,Acoustic Board Replacement/Realignment,P1 - Facilities,Any tickets for the replacement or realignment of acoustic boards within the space.,,FM Civil,Acoustic Board Replacement/Realignment
Engineering,Engineering,Acoustic Board Replacement/Realignment,P1 - Facilities,Any tickets for the replacement or realignment of acoustic boards within the space.,,ENG Odoo,Acoustic Board Replacement/Realignment
Engineering,Engineering,Door Jamb Repair/Repainting,P1 - Facilities,Any Tickets concerning the repair or repainting of door jambs,,FM Civil,Door Jamb Repair/Repainting
Engineering,Engineering,Door Jamb Repair/Repainting,P1 - Facilities,Any Tickets concerning the repair or repainting of door jambs,,ENG Odoo,Door Jamb Repair/Repainting
Engineering,Engineering,Canvass,P1 - Facilities,Requests for obtaining price quotations from various sources.,,FM Costing Request,Canvass
Engineering,Engineering,Canvass,P1 - Facilities,Requests for obtaining price quotations from various sources.,,FM Costing Request,"Costing from KMC, Contractor or Supplier"
Engineering,Engineering,"Costing from KMC, Contractor or Supplier",P1 - Facilities,Requests for obtaining price quotations from various sources.,,FM Costing Request,Canvass
Engineering,Engineering,"Costing from KMC, Contractor or Supplier",P1 - Facilities,Requests for obtaining price quotations from various sources.,,FM Costing Request,"Costing from KMC, Contractor or Supplier"
Engineering,Engineering,Power Outage,P1 - Facilities,Reports or requests related to power failures or outages.,,FM Electrical,Power Outage
Engineering,Engineering,Power Outage,P1 - Facilities,Reports or requests related to power failures or outages.,,ENG Odoo,Power Outage
Engineering,Engineering,Busted Light Replacement,P1 - Facilities,Tickets for replacing damaged or malfunctioning lights.,,FM Electrical,Busted Light Replacement
Engineering,Engineering,Busted Light Replacement,P1 - Facilities,Tickets for replacing damaged or malfunctioning lights.,,ENG Odoo,Busted Light Replacement
Engineering,Engineering,Outlet Installation,P1 - Facilities,Requests for the installation of new electrical outlets.,,FM Electrical,Outlet Installation
Engineering,Engineering,Outlet Installation,P1 - Facilities,Requests for the installation of new electrical outlets.,,ENG Odoo,Outlet Installation
Engineering,Engineering,TV Installation,P1 - Facilities,Requests for the setup and installation of televisions.,,FM Electrical,TV Installation
Engineering,Engineering,Resetting of Circuit Breaker,P1 - Facilities,Tickets involving the resetting of circuit breakers.,,FM Electrical,Resetting of Circuit Breaker
Engineering,Engineering,Resetting of Circuit Breaker,P1 - Facilities,Tickets involving the resetting of circuit breakers.,,ENG Odoo,Resetting of Circuit Breaker
Engineering,Engineering,Electricity Consumption Computation,P1 - Facilities,Requests for calculating electricity consumption.,,FM Electrical,Electricity Consumption Computation
Engineering,Engineering,Electricity Consumption Computation,P1 - Facilities,Requests for calculating electricity consumption.,,ENG Odoo,Electricity Consumption Computation
Engineering,Engineering,Lighting Upgrade,P1 - Facilities,Requests for upgrading lighting fixtures or systems.,,FM Electrical,Lighting Upgrade
Engineering,Engineering,Lighting Upgrade,P1 - Facilities,Requests for upgrading lighting fixtures or systems.,,ENG Odoo,Lighting Upgrade
Engineering,Engineering,Electrical Troubleshooting,P1 - Facilities,Tickets concerning the diagnosis and resolution of electrical issues.,,FM Electrical,Electrical Troubleshooting
Engineering,Engineering,Electrical Troubleshooting,P1 - Facilities,Tickets concerning the diagnosis and resolution of electrical issues.,,ENG Odoo,Electrical Troubleshooting
Engineering,Engineering,Replacement/Repair of Emergency Lights/Exit Signages,P1 - Facilities,Requests for repairing or replacing emergency lights or exit signages.,,FM Electrical,Replacement/Repair of Emergency Lights/Exit Signages
Engineering,Engineering,Replacement/Repair of Emergency Lights/Exit Signages,P1 - Facilities,Requests for repairing or replacing emergency lights or exit signages.,,ENG Odoo,Replacement/Repair of Emergency Lights/Exit Signages
Engineering,Engineering,Incident Report,P1 - Facilities,Reporting incidents or accidents within the premises,,FM Emergency,Incident Report
Engineering,Engineering,Incident Report,P1 - Facilities,Reporting incidents or accidents within the premises,,ENG Odoo,Incident Report
Engineering,Engineering,Emergency Repair,P1 - Facilities,Urgent repair requests requiring immediate attention.,,FM Emergency,Emergency Repair
Engineering,Engineering,Emergency Repair,P1 - Facilities,Urgent repair requests requiring immediate attention.,,ENG Odoo,Emergency Repair
Engineering,Engineering,Fire Extinguisher Checking,P1 - Facilities,Requests for inspection and maintenance of fire extinguishers.,,FM Fire Protection,Fire Extinguisher Checking
Engineering,Engineering,Fire Extinguisher Checking,P1 - Facilities,Requests for inspection and maintenance of fire extinguishers.,,ENG Odoo,Fire Extinguisher Checking
Engineering,Engineering,Escutheon Plate Installation,P1 - Facilities,Installation of escutcheon plates for fire safety equipment.,,FM Fire Protection,Escutheon Plate Installation
Engineering,Engineering,Escutheon Plate Installation,P1 - Facilities,Installation of escutcheon plates for fire safety equipment.,,ENG Odoo,Escutheon Plate Installation
Engineering,Engineering,Troubleshooting of Defective Smoke Detector,P1 - Facilities,Diagnosing and resolving issues with smoke detectors.,,FM Fire Protection,Troubleshooting of Defective Smoke Detector
Engineering,Engineering,Troubleshooting of Defective Smoke Detector,P1 - Facilities,Diagnosing and resolving issues with smoke detectors.,,ENG Odoo,Troubleshooting of Defective Smoke Detector
Engineering,Engineering,Troubleshooting of FDAS Panel,P1 - Facilities,Diagnosing and resolving issues with Fire Detection and Alarm System (FDAS) panels.,,FM Fire Protection,Troubleshooting of FDAS Panel
Engineering,Engineering,Troubleshooting of FDAS Panel,P1 - Facilities,Diagnosing and resolving issues with Fire Detection and Alarm System (FDAS) panels.,,ENG Odoo,Troubleshooting of FDAS Panel
Engineering,Engineering,Preventive Maintenance of FDAS System,P1 - Facilities,Scheduled maintenance tasks for the FDAS system to prevent failures.,,FM Fire Protection,Preventive Maintenance of FDAS System
Engineering,Engineering,Aircon Water Leak,P1 - Facilities,Reporting and addressing water leakage issues in air conditioning systems.,,FM Mechanical,Aircon Water Leak
Engineering,Engineering,Aircon Water Leak,P1 - Facilities,Reporting and addressing water leakage issues in air conditioning systems.,,ENG Odoo,Aircon Water Leak
Engineering,Engineering,Aircon Error,P1 - Facilities,Troubleshooting and resolving errors or malfunctions in air conditioning units.,,FM Mechanical,Aircon Error
Engineering,Engineering,Aircon Error,P1 - Facilities,Troubleshooting and resolving errors or malfunctions in air conditioning units.,,ENG Odoo,Aircon Error
Engineering,Engineering,Aircon System - General Cleaning,P1 - Facilities,Regular cleaning and maintenance of air conditioning systems.,,FM Mechanical,Aircon System - General Cleaning
Engineering,Engineering,Aircon System - General Cleaning,P1 - Facilities,Regular cleaning and maintenance of air conditioning systems.,,ENG Odoo,Aircon System - General Cleaning
Engineering,Engineering,Aircon System - Filter Cleaning,P1 - Facilities,Cleaning and maintenance of air conditioning filters,,FM Mechanical,Aircon System - Filter Cleaning
Engineering,Engineering,Aircon System - Filter Cleaning,P1 - Facilities,Cleaning and maintenance of air conditioning filters,,ENG Odoo,Aircon System - Filter Cleaning
Engineering,Engineering,Aircon System  - Repair,P1 - Facilities,Repairing malfunctioning air conditioning systems.,,FM Mechanical,Aircon System - Repair
Engineering,Engineering,Drain Line Sloping Check/Vacuuming,P1 - Facilities,Checking and cleaning drain lines to prevent clogs or leaks.,,FM Mechanical,Drain Line Sloping Check/Vacuuming
Engineering,Engineering,Drain Line Sloping Check/Vacuuming,P1 - Facilities,Checking and cleaning drain lines to prevent clogs or leaks.,,ENG Odoo,Drain Line Sloping Check/Vacuuming
Engineering,Engineering,Bidet/Faucet Repair/Replacement,P1 - Facilities,Repairing or replacing bidets or faucets.,,FM Plumbing,Bidet/Faucet Repair/Replacement
Engineering,Engineering,Bidet/Faucet Repair/Replacement,P1 - Facilities,Repairing or replacing bidets or faucets.,,ENG Odoo,Bidet/Faucet Repair/Replacement
Engineering,Engineering,Faucet/Cubicle Leak,P1 - Facilities,Addressing leaks in faucets or cubicles.,,FM Plumbing,Faucet/Cubicle Leak
Engineering,Engineering,Faucet/Cubicle Leak,P1 - Facilities,Addressing leaks in faucets or cubicles.,,ENG Odoo,Faucet/Cubicle Leak
Engineering,Engineering,Continous Flushing,P1 - Facilities,Troubleshooting and resolving continuous flushing issues in toilets.,,FM Plumbing,Continous Flushing
Engineering,Engineering,Continous Flushing,P1 - Facilities,Troubleshooting and resolving continuous flushing issues in toilets.,,ENG Odoo,Continous Flushing
Engineering,Engineering,Cleaning/Unclogging of Sanitary Line,P1 - Facilities,Clearing clogs or obstructions in sanitary line,,FM Plumbing,Cleaning/Unclogging of Sanitary Line
Engineering,Engineering,Cleaning/Unclogging of Sanitary Line,P1 - Facilities,Clearing clogs or obstructions in sanitary line,,ENG Odoo,Cleaning/Unclogging of Sanitary Line
Engineering,Engineering,Office Wall Installation,P1 - Facilities,Installation of office walls,,FM Project Management,Office Wall Installation
Engineering,Engineering,Office Wall Demolition,P1 - Facilities,removal of office walls.,,FM Project Management,Office Wall Demolition
Engineering,Engineering,Office Wall Demolition,P1 - Facilities,removal of office walls.,,ENG Odoo,Office Wall Demolition
Engineering,Engineering,Workstation Installation,P1 - Facilities,Setting up office workstations.,,FM Project Management,Workstation Installation
Engineering,Engineering,Workstation Installation,P1 - Facilities,Setting up office workstations.,,ENG Odoo,Workstation Installation
Engineering,Engineering,Workstation Dismantling,P1 - Facilities,dismantling office workstations.,,FM Project Management,Workstation Dismantling
Engineering,Engineering,Workstation Dismantling,P1 - Facilities,dismantling office workstations.,,ENG Odoo,Workstation Dismantling
Engineering,Engineering,Furniture Set-up,P1 - Facilities,Setting up office furniture.,,FM Project Management,Furniture Set-up
Engineering,Engineering,Furniture Set-up,P1 - Facilities,Setting up office furniture.,,ENG Odoo,Furniture Set-up
Engineering,Engineering,Workstation Partition Installation,P1 - Facilities,Installation of workstation partitions.,,FM Project Management,Workstation Partition Installation
Engineering,Engineering,Workstation Partition Installation,P1 - Facilities,Installation of workstation partitions.,,ENG Odoo,Workstation Partition Installation
Engineering,Engineering,Workstation Partition Dismantling,P1 - Facilities,removal of workstation partitions.,,FM Project Management,Workstation Partition Dismantling
Engineering,Engineering,Workstation Partition Dismantling,P1 - Facilities,removal of workstation partitions.,,ENG Odoo,Workstation Partition Dismantling
Engineering,Engineering,Office Modification,P1 - Facilities,Requests for modifying office layouts or structures.,,FM Project Management,Office Modification
Engineering,Engineering,Electrical/Mechanical Major Works (Repair/Replacement/Modification/Improvement),P1 - Facilities,"Major repair, replacement, modification, or improvement of electrical or mechanical systems.",,FM Renovation,Electrical/Mechanical Major Works (Repair/Replacement/Modification/Improvement)
Engineering,Engineering,Assist Vendor/Clients & Others,P1 - Facilities,"Requests for assistance to vendors, clients, or other parties.",,FM Support,Assist Vendor/Clients & Others
Engineering,Engineering,Assist Vendor/Clients & Others,P1 - Facilities,"Requests for assistance to vendors, clients, or other parties.",,ENG Odoo,Assist Vendor/Clients & Others
Engineering,Engineering,Request to Update Plans/Layout,P1 - Facilities,Requests to update plans or layouts.,,FM Support,Request to Update Plans/Layout
Engineering,Engineering,Request to Update Plans/Layout,P1 - Facilities,Requests to update plans or layouts.,,ENG Odoo,Request to Update Plans/Layout
Engineering,Engineering,Request for Hauling/Delivery of Assets,P1 - Facilities,Requests for hauling or delivery of assets.,,FM Support,Request for Hauling/Delivery of Assets
Engineering,Engineering,Request for Hauling/Delivery of Assets,P1 - Facilities,Requests for hauling or delivery of assets.,,ENG Odoo,Request for Hauling/Delivery of Assets
Finance,Finance - Accounts Payables,Below 20k invoices (No PO),P2 - Finance,"Tickets related to processing invoices below the value of 20,000 without a purchase order (PO).",,ACCOUNTS PAYABLE,Below 20k invoices (No PO)
Finance,Finance - Accounts Payables,Client Cash advance,P2 - Finance,Tickets for processing cash advances provided to clients.,,ACCOUNTS PAYABLE,Client Cash advance
Finance,Finance - Accounts Payables,Client Refund,P2 - Finance,Tickets related to processing refunds for clients.,,ACCOUNTS PAYABLE,Client Refund
Finance,Finance - Accounts Payables,Confidential Payments Requests,P2 - Finance,Tickets for processing payments that require confidentiality.,,ACCOUNTS PAYABLE,Confidential Payments Requests
Finance,Finance - Accounts Payables,Complicated Report,P2 - Finance,Tickets for handling requests related to generating or analyzing complex financial reports.,,ACCOUNTS PAYABLE,Complicated Report
Finance,Finance - Accounts Payables,"FORMS (Reimbursement, PCF, Credit Card Liquidation)",P2 - Finance,"Tickets for processing various forms including reimbursement, Petty Cash Fund (PCF), and credit card liquidation.",,ACCOUNTS PAYABLE,"FORMS (Reimbursement, PCF, Credit Card Liquidation)"
Finance,Finance - Accounts Payables,Internal & External reimb request,P2 - Finance,Tickets for processing reimbursement requests from both internal and external sources.,,ACCOUNTS PAYABLE,Internal & External reimb request
Finance,Finance - Accounts Payables,Petty Cash Request,P2 - Finance,Tickets related to processing requests for petty cash disbursements.,,ACCOUNTS PAYABLE,Petty Cash Request
Finance,Finance - Accounts Payables,PO invoices,P2 - Finance,Tickets for processing invoices that are associated with purchase orders (PO).,,ACCOUNTS PAYABLE,PO invoices
Finance,Finance - Accounts Payables,"Recurring bills (rentals, utilities, telco, etc.)",P2 - Finance,"Tickets for processing recurring bills such as rentals, utilities, telecommunications, etc.",,ACCOUNTS PAYABLE,"Recurring bills (rentals, utilities, telco, etc.)"
Finance,Finance - Accounts Payables,Simple Report,P2 - Finance,Tickets for handling requests related to generating or analyzing simple financial reports.,,ACCOUNTS PAYABLE,Simple Report
Finance,Finance - Accounts Payables,"Urgent requests (Business permits, other taxes etc.)",P2 - Finance,"Tickets for handling urgent requests such as business permits, tax-related matters, etc.",,ACCOUNTS PAYABLE,"Urgent requests (Business permits, other taxes etc.)"
Finance,Finance - Treasury,Bank Request,P2 - Finance,"Any tickets related related to requests or transactions involving banks, such as transfers, account updates, or inquiries.",,TREASURY,Bank Request
Finance,Finance - Treasury,Builds,P2 - Finance,"Any tickets related to the creation or adjustment of financial structures, investments, or portfolios.",,TREASURY,Builds
Finance,Finance - Treasury,Cash Advance,P2 - Finance,Any tickets related to processing requests or managing transactions related to cash advances.,,TREASURY,Cash Advance
Finance,Finance - Treasury,Client Request,P2 - Finance,"Any tickets related to handling requests or transactions initiated by clients, such as payments or inquiries.",,TREASURY,Client Request
Finance,Finance - Treasury,Government Statutory,P2 - Finance,"Any tickets related to compliance with government regulations or statutory requirements, including filings, reports, or payments.",,TREASURY,Government Statutory
Finance,Finance - Treasury,Last Pay,P2 - Finance,Any tickets related to related to the processing of final payments or settlements for employees leaving the company.,,TREASURY,Last Pay
Finance,Finance - Treasury,Operations,P2 - Finance,Any tickets related to related to general financial operations or processes within the treasury department.,,TREASURY,Operations
Finance,Finance - Treasury,Rush Payroll Request,P2 - Finance,Any tickets related to urgent or expedited processing of payroll transactions.,,TREASURY,Rush Payroll Request
HR,HR Data Team,ID/Badge Card Request,P2 - HRDT,"Tickets for requesting ID replacements, addressing inaccuracies, and arranging for the delivery or retrieval of IDs.",,HRDT - HRBP Requests,ID/Badge Card Request
HR,HR Data Team,HRIS - Approver Account Creation,P1 - HRDT,"Tickets for creating approver accounts in HRIS, with access levels tailored to the user's requirements.",,HRDT - HRIS,HRIS - Approver Account Creation
HR,HR Data Team,HRIS - Offboarding,P1 - HRDT,"Tickets for deactivating accounts and removing agents under immediate supervisors' jurisdiction in HRIS, including managing withdrawal notices from new hires.",,HRDT - HRIS,HRIS - Offboarding
HR,HR Data Team,HRIS - Work Information Update,P2 - HRDT,"Tickets for updating immediate supervisor or approver information, modifying work schedules, adjusting start dates, and altering approval process flows.",,HRDT - HRIS,HRIS - Work Information Update
HR,HR Data Team,EAA Updates,P2 - HRDT,"Tickets for updating employment-related data such as regularization status, salary adjustments, changes in position, and HMO details.",,HRDT - HRIS,EAA Updates
HR,HR Data Team,Other HRIS Concerns,P1 - HRDT,"Tickets for addressing various concerns, including issues related to web bundy, errors in request filing, adjustments to access levels, and inquiries about administration tools such as report generation and bulk uploads.",,HRDT - HRIS,Other HRIS Concerns
HR,HR Data Team,Inaccurate Data Correction,P1 - HRDT,Tickets for correcting any inaccuracies in HRIS and ERP.,,HRDT - Data Updating,Inaccurate Data Correction
HR,HR Data Team,Personal Data Updating,P1 - HRDT,"Tickets for updating personal information such as civil status, name changes, and contact details.",,HRDT - Data Updating,Personal Data Updating
HR,HR Data Team,Complicated Report,P2 - HRDT,"Tickets for requesting complex data reports, such as headcount or other specialized reports.",,HRDT - Requested Report,Complicated Report
HR,HR Data Team,Simple Report,P1 - HRDT,Tickets for requesting straightforward data reports that are easily extracted from the systems.,,HRDT - Requested Report,Simple Report
HR,HR Data Team,Exit Management Concern,P1 - HRDT,Tickets for handling clearance and other offboarding documentation requirements.,,HRDT - Others,Exit Management Concern
HR,HR Data Team,Employement Verification,P2 - HRDT,Tickets for providing employment verification for loan applications and other purposes.,,HRDT - Others,Employement Verification
Legal & Compliance,Legal & Compliance,GENERAL LEGAL/COMPLIANCE ADVICE,P2 - Legal & Compliance,Tickets for seeking general legal or compliance advice.,,L&C ADVISORY/INQUIRIES,GENERAL LEGAL/COMPLIANCE ADVICE
Legal & Compliance,Legal & Compliance,VISA PROCESSING (REQUIREMENTS),P2 - Legal  ,Tickets related to visa processing requirements for employees or clients.,,L&C ADVISORY/INQUIRIES,VISA PROCESSING (REQUIREMENTS)
Legal & Compliance,Legal & Compliance,CONTRACT REVIEW,P3 - Legal,Tickets for reviewing contracts or agreements for legal compliance and risk assessment.,,L&C ADVISORY/INQUIRIES,CONTRACT REVIEW
Legal & Compliance,Legal & Compliance,INTELLECTUAL PROPERTY CONCERNS,P3 - Legal,Tickets related to concerns regarding intellectual property rights or protection.,,L&C ADVISORY/INQUIRIES,INTELLECTUAL PROPERTY CONCERNS
Legal & Compliance,Legal & Compliance,AMLA CONCERNS,P3 - Legal & Compliance,Tickets related to concerns or inquiries about AMLA compliance.,,L&C ADVISORY/INQUIRIES,AMLA CONCERNS
Legal & Compliance,Legal & Compliance,BSP CONCERNS,P3 - Legal,Tickets related to concerns or inquiries about compliance with regulations from theBSP.,,L&C ADVISORY/INQUIRIES,BSP CONCERNS
Legal & Compliance,Legal & Compliance,DATA PRIVACY CONCERNS,P2 - Legal  ,Tickets related to concerns or inquiries about compliance with data privacy laws and regulations.,,L&C ADVISORY/INQUIRIES,DATA PRIVACY CONCERNS
Legal & Compliance,Legal & Compliance,CONSTRUCTION AGREEMENTS,P3 - Legal,Tickets related to reviewing or drafting construction agreements or contracts.,,L&C ADVISORY/INQUIRIES,CONSTRUCTION AGREEMENTS
Legal & Compliance,Legal & Compliance,TAX RELATED INQUIRIES/ADVISORY - LOCAL (LGU'S) & NATIONAL  (BIR),P2 - Legal & Compliance,Tickets related to tax-related inquiries or seeking advisory on tax matters at the local or national level.,,L&C ADVISORY/INQUIRIES,TAX RELATED INQUIRIES/ADVISORY - LOCAL (LGU'S) & NATIONAL (BIR)
Legal & Compliance,Legal & Compliance,IMPORTATION (REQUIREMENTS) INQUIRIES,P1 - Compliance,Request for the list of requirement for the BOC COR application,,L&C ADVISORY/INQUIRIES,IMPORTATION (REQUIREMENTS) INQUIRIES
Legal & Compliance,Legal & Compliance,OFFSHORE (FOREIGN) CLIENT INQUIRIES,P2 - Compliance,"Inquiries on the CyberEdge, D&O, and PI insurance",,L&C ADVISORY/INQUIRIES,OFFSHORE (FOREIGN) CLIENT INQUIRIES
Legal & Compliance,Legal & Compliance,OTHER ADVISORY/INQUIRY - LEGAL MATTERS / OPINIONS,P2 - Legal,Tickets for seeking advice or opinions on other legal matters not covered by specific categories.,,L&C ADVISORY/INQUIRIES,OTHER ADVISORY/INQUIRY - LEGAL MATTERS / OPINIONS
