Department,Tech Group,Sub-Category,Priority,Description,assistant (For Getlogs only)
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,
Engineering,Engineering,Wall Repainting (Less than 20sqm),P1 - Facilities,Any tickets releated for repainting walls covering an area of less than 20 square meters.,
Engineering,Engineering,Wall Repainting (Above 20sqm),P1 - Facilities,Any tickets for repainting walls covering an area of 20 square meters or more.,
Engineering,Engineering,Base Board Repair/Repainting,P1 - Facilities,Any tickets involving the repair or repainting of baseboards.,
Engineering,Engineering,Wall Crack Rectification,P1 - Facilities,Any Requests related to the repair or correction of cracks in walls.,
Engineering,Engineering,Floor Crack Rectification,P1 - Facilities,Any Tickets concerning the repair or correction of cracks in floors.,
Engineering,Engineering,Cabinet/Joineries Repair,P1 - Facilities,Any tickets Requests for repair work on cabinets or joineries within the premises.,
Engineering,Engineering,Door Laminate Repair,P1 - Facilities,Any tickets involving the repair or replacement of laminates on door,
Engineering,Engineering,Acoustic Board Replacement/Realignment,P1 - Facilities,Any tickets for the replacement or realignment of acoustic boards within the space.,
Engineering,Engineering,Door Jamb Repair/Repainting,P1 - Facilities,Any Tickets concerning the repair or repainting of door jambs,
Engineering,Engineering,Canvass,P1 - Facilities,Requests for obtaining price quotations from various sources.,
Engineering,Engineering,"Costing from KMC, Contractor or Supplier",P1 - Facilities,Requests for obtaining price quotations from various sources.,
Engineering,Engineering,Power Outage,P1 - Facilities,Reports or requests related to power failures or outages.,
Engineering,Engineering,Busted Light Replacement,P1 - Facilities,Tickets for replacing damaged or malfunctioning lights.,
Engineering,Engineering,Outlet Installation,P1 - Facilities,Requests for the installation of new electrical outlets.,
Engineering,Engineering,TV Installation,P1 - Facilities,Requests for the setup and installation of televisions.,
Engineering,Engineering,Resetting of Circuit Breaker,P1 - Facilities,Tickets involving the resetting of circuit breakers.,
Engineering,Engineering,Electricity Consumption Computation,P1 - Facilities,Requests for calculating electricity consumption.,
Engineering,Engineering,Lighting Upgrade,P1 - Facilities,Requests for upgrading lighting fixtures or systems.,
Engineering,Engineering,Electrical Troubleshooting,P1 - Facilities,Tickets concerning the diagnosis and resolution of electrical issues.,
Engineering,Engineering,Replacement/Repair of Emergency Lights/Exit Signages,P1 - Facilities,Requests for repairing or replacing emergency lights or exit signages.,
Engineering,Engineering,Incident Report,P1 - Facilities,Reporting incidents or accidents within the premises,
Engineering,Engineering,Emergency Repair,P1 - Facilities,Urgent repair requests requiring immediate attention.,
Engineering,Engineering,Fire Extinguisher Checking,P1 - Facilities,Requests for inspection and maintenance of fire extinguishers.,
Engineering,Engineering,Escutheon Plate Installation,P1 - Facilities,Installation of escutcheon plates for fire safety equipment.,
Engineering,Engineering,Troubleshooting of Defective Smoke Detector,P1 - Facilities,Diagnosing and resolving issues with smoke detectors.,
Engineering,Engineering,Troubleshooting of FDAS Panel,P1 - Facilities,Diagnosing and resolving issues with Fire Detection and Alarm System (FDAS) panels.,
Engineering,Engineering,Preventive Maintenance of FDAS System,P1 - Facilities,Scheduled maintenance tasks for the FDAS system to prevent failures.,
Engineering,Engineering,Aircon Water Leak,P1 - Facilities,Reporting and addressing water leakage issues in air conditioning systems.,
Engineering,Engineering,Aircon Error,P1 - Facilities,Troubleshooting and resolving errors or malfunctions in air conditioning units.,
Engineering,Engineering,Aircon System - General Cleaning,P1 - Facilities,Regular cleaning and maintenance of air conditioning systems.,
Engineering,Engineering,Aircon System - Filter Cleaning,P1 - Facilities,Cleaning and maintenance of air conditioning filters,
Engineering,Engineering,Aircon System  - Repair,P1 - Facilities,Repairing malfunctioning air conditioning systems.,
Engineering,Engineering,Drain Line Sloping Check/Vacuuming,P1 - Facilities,Checking and cleaning drain lines to prevent clogs or leaks.,
Engineering,Engineering,Bidet/Faucet Repair/Replacement,P1 - Facilities,Repairing or replacing bidets or faucets.,
Engineering,Engineering,Faucet/Cubicle Leak,P1 - Facilities,Addressing leaks in faucets or cubicles.,
Engineering,Engineering,Continous Flushing,P1 - Facilities,Troubleshooting and resolving continuous flushing issues in toilets.,
Engineering,Engineering,Cleaning/Unclogging of Sanitary Line,P1 - Facilities,Clearing clogs or obstructions in sanitary line,
Engineering,Engineering,Office Wall Installation,P1 - Facilities,Installation of office walls,
Engineering,Engineering,Office Wall Demolition,P1 - Facilities,removal of office walls.,
Engineering,Engineering,Workstation Installation,P1 - Facilities,Setting up office workstations.,
Engineering,Engineering,Workstation Dismantling,P1 - Facilities,dismantling office workstations.,
Engineering,Engineering,Furniture Set-up,P1 - Facilities,Setting up office furniture.,
Engineering,Engineering,Workstation Partition Installation,P1 - Facilities,Installation of workstation partitions.,
Engineering,Engineering,Workstation Partition Dismantling,P1 - Facilities,removal of workstation partitions.,
Engineering,Engineering,Office Modification,P1 - Facilities,Requests for modifying office layouts or structures.,
Engineering,Engineering,Electrical/Mechanical Major Works (Repair/Replacement/Modification/Improvement),P1 - Facilities,"Major repair, replacement, modification, or improvement of electrical or mechanical systems.",
Engineering,Engineering,Assist Vendor/Clients & Others,P1 - Facilities,"Requests for assistance to vendors, clients, or other parties.",
Engineering,Engineering,Request to Update Plans/Layout,P1 - Facilities,Requests to update plans or layouts.,
Engineering,Engineering,Request for Hauling/Delivery of Assets,P1 - Facilities,Requests for hauling or delivery of assets.,
Finance,Finance - Accounts Payables,Below 20k invoices (No PO),P2 - Finance,"Tickets related to processing invoices below the value of 20,000 without a purchase order (PO).",
Finance,Finance - Accounts Payables,Client Cash advance,P2 - Finance,Tickets for processing cash advances provided to clients.,
Finance,Finance - Accounts Payables,Client Refund,P2 - Finance,Tickets related to processing refunds for clients.,
Finance,Finance - Accounts Payables,Confidential Payments Requests,P2 - Finance,Tickets for processing payments that require confidentiality.,
Finance,Finance - Accounts Payables,Complicated Report,P2 - Finance,Tickets for handling requests related to generating or analyzing complex financial reports.,
Finance,Finance - Accounts Payables,"FORMS (Reimbursement, PCF, Credit Card Liquidation)",P2 - Finance,"Tickets for processing various forms including reimbursement, Petty Cash Fund (PCF), and credit card liquidation.",
Finance,Finance - Accounts Payables,Internal & External reimb request,P2 - Finance,Tickets for processing reimbursement requests from both internal and external sources.,
Finance,Finance - Accounts Payables,Petty Cash Request,P2 - Finance,Tickets related to processing requests for petty cash disbursements.,
Finance,Finance - Accounts Payables,PO invoices,P2 - Finance,Tickets for processing invoices that are associated with purchase orders (PO).,
Finance,Finance - Accounts Payables,"Recurring bills (rentals, utilities, telco, etc.)",P2 - Finance,"Tickets for processing recurring bills such as rentals, utilities, telecommunications, etc.",
Finance,Finance - Accounts Payables,Simple Report,P2 - Finance,Tickets for handling requests related to generating or analyzing simple financial reports.,
Finance,Finance - Accounts Payables,"Urgent requests (Business permits, other taxes etc.)",P2 - Finance,"Tickets for handling urgent requests such as business permits, tax-related matters, etc.",
Finance,Finance - Treasury,Bank Request,P2 - Finance,"Any tickets related related to requests or transactions involving banks, such as transfers, account updates, or inquiries.",
Finance,Finance - Treasury,Builds,P2 - Finance,"Any tickets related to the creation or adjustment of financial structures, investments, or portfolios.",
Finance,Finance - Treasury,Cash Advance,P2 - Finance,Any tickets related to processing requests or managing transactions related to cash advances.,
Finance,Finance - Treasury,Client Request,P2 - Finance,"Any tickets related to handling requests or transactions initiated by clients, such as payments or inquiries.",
Finance,Finance - Treasury,Government Statutory,P2 - Finance,"Any tickets related to compliance with government regulations or statutory requirements, including filings, reports, or payments.",
Finance,Finance - Treasury,Last Pay,P2 - Finance,Any tickets related to related to the processing of final payments or settlements for employees leaving the company.,
Finance,Finance - Treasury,Operations,P2 - Finance,Any tickets related to related to general financial operations or processes within the treasury department.,
Finance,Finance - Treasury,Rush Payroll Request,P2 - Finance,Any tickets related to urgent or expedited processing of payroll transactions.,
Finance,Finance - Treasury,Taxes / BOC / LGU Payment,P2 - Finance,Any tickets related to  processing tax payments or payments to government agencies,
HR,HR Data Team,HRIS Log in Issue,P1 - HRDT,"Tickets for resolving issues related to inaccessible or locked HRIS accounts, as well as concerns regarding credentials.
",
HR,HR Data Team,ID/Badge Card Request,P2 - HRDT,"Tickets for requesting ID replacements, addressing inaccuracies, and arranging for the delivery or retrieval of IDs.",
HR,HR Data Team,HRIS - Approver Account Creation,P1 - HRDT,"Tickets for creating approver accounts in HRIS, with access levels tailored to the user's requirements.",
HR,HR Data Team,HRIS - Offboarding,P1 - HRDT,"Tickets for deactivating accounts and removing agents under immediate supervisors' jurisdiction in HRIS, including managing withdrawal notices from new hires.",
HR,HR Data Team,HRIS - Work Information Update,P2 - HRDT,"Tickets for updating immediate supervisor or approver information, modifying work schedules, adjusting start dates, and altering approval process flows.",
HR,HR Data Team,EAA Updates,P2 - HRDT,"Tickets for updating employment-related data such as regularization status, salary adjustments, changes in position, and HMO details.",
HR,HR Data Team,Other HRIS Concerns,P1 - HRDT,"Tickets for addressing various concerns, including issues related to web bundy, errors in request filing, adjustments to access levels, and inquiries about administration tools such as report generation and bulk uploads.",
HR,HR Data Team,Inaccurate Data Correction,P1 - HRDT,Tickets for correcting any inaccuracies in HRIS and ERP.,
HR,HR Data Team,Personal Data Updating,P1 - HRDT,"Tickets for updating personal information such as civil status, name changes, and contact details.",
HR,HR Data Team,Complicated Report,P2 - HRDT,"Tickets for requesting complex data reports, such as headcount or other specialized reports.",
HR,HR Data Team,Simple Report,P1 - HRDT,Tickets for requesting straightforward data reports that are easily extracted from the systems.,
HR,HR Data Team,Exit Management Concern,P1 - HRDT,Tickets for handling clearance and other offboarding documentation requirements.,
HR,HR Data Team,Employement Verification,P2 - HRDT,Tickets for providing employment verification for loan applications and other purposes.,
Legal & Compliance,Legal & Compliance,GENERAL LEGAL/COMPLIANCE ADVICE,P2 - Legal & Compliance,Tickets for seeking general legal or compliance advice.,
Legal & Compliance,Legal & Compliance,VISA PROCESSING (REQUIREMENTS),P2 - Legal  ,Tickets related to visa processing requirements for employees or clients.,
Legal & Compliance,Legal & Compliance,CONTRACT REVIEW,P3 - Legal,Tickets for reviewing contracts or agreements for legal compliance and risk assessment.,
Legal & Compliance,Legal & Compliance,INTELLECTUAL PROPERTY CONCERNS,P3 - Legal,Tickets related to concerns regarding intellectual property rights or protection.,
Legal & Compliance,Legal & Compliance,AMLA CONCERNS,P3 - Legal & Compliance,Tickets related to concerns or inquiries about AMLA compliance.,
Legal & Compliance,Legal & Compliance,BSP CONCERNS,P3 - Legal,Tickets related to concerns or inquiries about compliance with regulations from theBSP.,
Legal & Compliance,Legal & Compliance,DATA PRIVACY CONCERNS,P2 - Legal  ,Tickets related to concerns or inquiries about compliance with data privacy laws and regulations.,
Legal & Compliance,Legal & Compliance,CONSTRUCTION AGREEMENTS,P3 - Legal,Tickets related to reviewing or drafting construction agreements or contracts.,
Legal & Compliance,Legal & Compliance,TAX RELATED INQUIRIES/ADVISORY - LOCAL (LGU'S) & NATIONAL  (BIR),P2 - Legal & Compliance,Tickets related to tax-related inquiries or seeking advisory on tax matters at the local or national level.,
Legal & Compliance,Legal & Compliance,IMPORTATION (REQUIREMENTS) INQUIRIES,P1 - Compliance,Request for the list of requirement for the BOC COR application,
Legal & Compliance,Legal & Compliance,BANK ACCOUNT OPENING INQUIRIES,P1 - Compliance,Inquiries on the process and requirements needed for the bank opening ,
Legal & Compliance,Legal & Compliance,OFFSHORE (FOREIGN) CLIENT INQUIRIES,P2 - Compliance,"Inquiries on the CyberEdge, D&O, and PI insurance",
Legal & Compliance,Legal & Compliance,OTHER ADVISORY/INQUIRY - LEGAL MATTERS / OPINIONS,P2 - Legal,Tickets for seeking advice or opinions on other legal matters not covered by specific categories.,
Legal & Compliance,Legal & Compliance,OTHER ADVISORY/INQUIRY - COMPLIANCE RELATED,P1 - Compliance,"Request for the process, implications and advisory for PEZA, BOI, CDC, LGU, and CLIENTS",
Legal & Compliance,Legal & Compliance,INQUIRY/ADVISORY FOR PEZA - CLIENTS,P1 - Compliance,Tickets for seeking inquiries or advisory related to PEZA compliance for clients.,
Legal & Compliance,Legal & Compliance,BUSINESS PERMIT APPLICATION (REQUIREMENTS) ,P1 - Compliance,Request for the process and  list of requirments needed for the LGU permits,
Legal & Compliance,Legal & Compliance,BIR/PEZA/LGU/FSIC/DOLE/INSURANCE RELATED INQUIRIES,P2 - Compliance,Inquiry on the scope and coverage of Government and Insurance ,
Legal & Compliance,Legal & Compliance,SEC/CORPORATE DOCUMENTS,P2 - Legal,Tickets for processing or handling SEC or corporate documents.,
Legal & Compliance,Legal & Compliance,LETTER DRAFTING REQUESTS,P3 - Legal,Tickets for drafting legal letters or correspondence.,
Legal & Compliance,Legal & Compliance,PEZA CERTIFICATIONS / INCENTIVES ,P3 - Compliance,Tickets for processing PEZA certifications or incentives.,
Legal & Compliance,Legal & Compliance,BUSINESS & OTHER LGU PERMITS ,P3 - Compliance,Request on a copy of the LGU permits,
Legal & Compliance,Legal & Compliance,BIR/DOLE/FSIC/INSURANCE/BUILDING ADMIN CERTIFICATES/PERMITS ,P3 -Compliance,Request on a copy of permits and certifications,
Legal & Compliance,Legal & Compliance,PEZA CERTIFICATIONS FOR CLIENTS,P5 - Compliance,Tickets for processing PEZA certifications specifically for clients.,
Legal & Compliance,Legal & Compliance,OFFSHORE (FOREIGN) CLIENT DOCUMENT REQUESTS,P3 - Compliance,Ticket request for a copy of registration and offshore insurance coverage,
Legal & Compliance,Legal & Compliance,OTHER DOCUMENT REQUESTS,P3 - Compliance,"Request for other documents needed for clients, government agencies and private sector",
Legal & Compliance,Legal & Compliance,CRIMINAL/CIVIL/LABOR CASES CONCERNS,P3 - Legal,"Tickets for concerns related to criminal, civil, or labor cases.",
Legal & Compliance,Legal & Compliance,KYC,P2 - Legal,Tickets related to Know Your Customer (KYC) processes for client identification and verification.,
Legal & Compliance,Legal & Compliance,VENDOR ACCREDITATION/DUE DILIGENCE,P2 - Legal,Tickets related to vendor accreditation or due diligence processes.,
Legal & Compliance,Legal & Compliance,LOAN AGREEMENTS,P3 - Legal,Tickets related to reviewing or drafting loan agreements.,
Legal & Compliance,Legal & Compliance,INTERNAL AUDITS (PWC),P2 - Legal,"Tickets related to internal audit processes, possibly involving external auditors such as PricewaterhouseCoopers (PWC).",
Legal & Compliance,Legal & Compliance,BUSINESS REGISTRATION PROCESSING,P5 - Compliance,Request for LGU permits applicable for NEW SITES AND COMPANIES,
Legal & Compliance,Legal & Compliance,IMPORTATION (IMPORT PERMIT),P7 - Compliance,Request for new BOC COR application applicable for,
Legal & Compliance,Legal & Compliance,PEZA REGISTRATION,P5 - Compliance,Tickets related to the registration process with the PEZA.,
Legal & Compliance,Legal & Compliance,PEZA CERTIFICATIONS/INCENTIVES PROCESSING FOR CLIENTS,P5 - Compliance,Tickets for processing PEZA certifications or incentives specifically for clients.,
Legal & Compliance,Legal & Compliance,PEZA CERTIFICATIONS/INCENTIVES PROCESSING-INTERNAL,P5 - Compliance,Tickets for processing PEZA certifications or incentives for internal purposes.,
Legal & Compliance,Legal & Compliance,BIR PROCESSING REQUESTS,P6 - Compliance,Tickets for processing requests or inquiries related to the Bureau of Internal Revenue (BIR).,
Legal & Compliance,Legal & Compliance,OFFSHORE (FOREIGN) CLIENT PROCESSING REQUESTS,,Tickets for processing requests or inquiries related to offshore or foreign clients.,
Legal & Compliance,Legal & Compliance,INSURANCE CLAIMS PROCESSING,P4 - Compliance,Tickets for processing insurance claims.,
Legal & Compliance,Legal & Compliance,INSURANCE CLAIMS PROCESSING,P6 - Compliance,Request for processing claims of damage and lost property,
Legal & Compliance,Legal & Compliance,"OTHER PROCESSING REQUESTS RELATED TO LGU, BIR, PEZA, DOLE, BOC COMPLIANCE",P4 - Compliance,Other concerns that pertains to the processing and of government agencies,
Legal & Compliance,Legal & Compliance,"OTHER PROCESSING REQUESTS RELATED TO LGU, BIR, PEZA, DOLE, BOC COMPLIANCE",,"Tickets for processing requests related to compliance with local government units (LGUs), BIR, PEZA, Department of Labor and Employment (DOLE), or Bureau of Customs (BOC).",
Legal & Compliance,Legal & Compliance,REQUEST FOR COPIES OF CONTRACTS,P2 - Legal,Tickets for requesting copies of contracts or agreements.,
Legal & Compliance,Legal & Compliance,OFFSHORE (FOREIGN) CLIENT CONCERNS,P2 - Compliance,Inquiries for processing and scope of Offshore registrations and insurance,
Legal & Compliance,Legal & Compliance,OTHERS - LEGAL & COMPLIANCE RELATED,P2 - Compliance,"General inquiries for process, advisory and other concerns",
Legal & Compliance,Legal & Compliance,TaaS | Visa Processing Inquiry,P2 - Compliance,Tickets related to inquiries regarding visa processing for employees or clients.,
Legal & Compliance,Legal & Compliance,TaaS | General Legal and Compliance Inquiries,P2 - Compliance,Tickets for general inquiries or concerns related to legal and compliance matters within the TaaS department.,
Marketing,Marketing,Production Request,P2 - Marketing,ickets related to requesting production services for marketing materials,
Marketing,Marketing,Signage Request,P2 - Marketing,Tickets related to requesting the creation or installation of signage for marketing purposes.,
Marketing,Marketing,Creative Collateral Request,P2 - Marketing,"Tickets for requesting the creation of creative collateral materials such as posters, infographics, or presentations.",
Marketing,Marketing,Social Media Access,P2 - Marketing,Tickets for requesting access to social media accounts for marketing purposes.,
Marketing,Marketing,"Third Party Account Access (Google, Paypal, Mailchimp, Website, etc.)",P2 - Marketing,Tickets for requesting access to third-party accounts necessary for marketing activities.,
Marketing,Marketing,Hubspot Account Access/creation/ Revision,P2 - Marketing,"Tickets related to HubSpot account management, including access, creation, or revision.",
Marketing,Marketing,Hubspot Reports Creation,P2 - Marketing,Tickets for creating reports using HubSpot for marketing analytics and insights.,
Marketing,Marketing,"Supplies Distribution/ Acquisition (Flyers, stickers, Tarps, etc.)",P2 - Marketing,"Tickets for acquiring or distributing marketing supplies such as flyers, stickers, or tarps.",
Marketing,Marketing,Borrowing of Equipment,P2 - Marketing,Tickets for requesting the borrowing of equipment needed for marketing activities.,
Marketing,Marketing,Request for Approval,P2 - Marketing,"Tickets for obtaining approvals for marketing campaigns, materials, or strategies.",
Marketing,Marketing,Social Media/ Web Posting Request,P2 - Marketing,Tickets for requesting the posting of content on social media platforms or websites.,
Marketing,Marketing,"Email Blasting (to clients, external, etc)",P2 - Marketing,Tickets for requesting the distribution of marketing emails to clients or external contacts.,
Marketing,Marketing,Website Content Revisions,P2 - Marketing,Tickets for requesting revisions to website content for marketing purposes.,
Marketing,Marketing,Website Design Revisions,P2 - Marketing,Tickets for requesting revisions to website design elements for marketing purposes.,
Marketing,Marketing,Website Design Creation,P2 - Marketing,Tickets for requesting the creation of new website designs for marketing campaigns.,
Marketing,Marketing,Website Service Error Troubleshooting,P2 - Marketing,Tickets for troubleshooting and resolving errors on the marketing department's website.,
Marketing,Marketing,Website landing page Content,P2 - Marketing,Tickets for creating or updating content on website landing pages.,
Marketing,Marketing,Articles/essays Content,P2 - Marketing,Tickets for creating or editing written content such as articles or essays for marketing purposes.,
Marketing,Marketing,Ads/image copy,P2 - Marketing,Tickets for creating or editing advertising copy or imagery for marketing campaigns.,
Marketing,Marketing,Social media captions - 1 day,P2 - Marketing,Tickets for creating or editing social media captions for posts within a short timeframe.,
Marketing,Marketing,Emails,P2 - Marketing,Tickets for creating or editing email content for marketing campaigns.,
Technology Services,Network Design Team,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Network Design Team,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Network Design Team,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Network Design Team,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Network Design Team,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Network Design Team,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Network Design Team,Connection Issue,P2 - General,Tickets related to an internet issue (LAN & wireless connection).,
Technology Services,Network Design Team,Connection Checking,P3 - Planned,"Request to run network testing (ping test, trace route, speed test).",
Technology Services,Network Design Team,General Network Activity,P3 - Planned,Any network-related activity that is not on the list.,
Technology Services,Network Design Team,Maintenance,P3 - Planned | P4 - Project,Ticket for any network-related maintenance.,
Technology Services,Network Design Team,Monitoring Alerts,P2 - General,Ticket for the network alerts from SolarWinds.,
Technology Services,Network Design Team,Network Diagram Creation/Update,P3 - Planned,Creation/Updating of internal network diagram (KMC infrastructure),
Technology Services,Network Design Team,Network Gear Mount/Unmount,P3 - Planned,Ticket for mounting or unmounting any network device in the server rack.,
Technology Services,Network Design Team,Operational Readiness Test,P4 - Project,Ticket for Operational Readiness Test (ORT).,
Technology Services,Network Design Team,Port Tracing,P3 - Planned,Ticket for a port tracing activity.,
Technology Services,Network Design Team,Report Generation,P3 - Planned,"Request for a network report (bandwidth utilization, etc).",
Technology Services,Network Design Team,Site Build,P4 - Project,Network-side site build tickets.,
Technology Services,Network Design Team,SSID Creation/Removal,P3 - Planned,Request for creation/removal of SSID. ,
Technology Services,Network Design Team,VLAN Change/Create,P3 - Planned,Request for VLAN changing/creating,
Technology Services,Network Design Team,Website Issue,P2 - General,Tickets related any website issue.,
Technology Services,Network Design Team,Whitelist/Blacklist,P3 - Planned,Request to whitelist or blacklist a URL. Ticket for the creation of access rules.,
Technology Services,Network Design Team,Wired/Wireless Connection,P3 - Planned,Request to be connected to the WiFi or LAN.,
Technology Services,Network Design Team,IP Request,P3 - Planned,"Tickets relating to IP Addressing for hosts in network, both Public and Private IPs",
Technology Services,Network Design Team,Traffic Engineering,P3 - Planned,"Tickets relating to access rules, routing, switching, and the likes",
Technology Services,Network Design Team,Client High Level Network Design,P3 - Planned,Tickets for creation of high level network map for clients,
Technology Services,Network Design Team,Client Requirement Discovery,P3 - Planned,Tickets for request of the presence of Design Team during Discovery calls for clients,
Technology Services,NOC,Disconnect,P3 - Planned | P4 - Project,Ticket to disconnect links or dedicated BW service.,
Technology Services,NOC,Order,P3 - Planned | P4 - Project,Request for dedicated/separate link or dedicated BW.,
Technology Services,NOC,Provisioning,P3 - Planned | P4 - Project,Ticket to turn up CKT order.,
Technology Services,NOC,Upgrade,P3 - Planned | P4 - Project,Upgrade request for an existing CKT.,
Technology Services,NOC,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,NOC,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,NOC,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,NOC,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,NOC,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,NOC,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,NOC,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,NOC,Network Outage,P1 - Critical,"Any outage ticket related to the switches, firewall, and other network devices that the KMC NOC team maintains",
Technology Services,NOC,ISP Outage,P1 - Critical,Any outage ticket related to the ISP,
Technology Services,NOC,Power Outage,P1 - Critical,Any outage ticket related to power issue/failure,
Technology Services,NOC,Connection Issue,P2 - General,Tickets related to an internet issue (LAN & wireless connection).,
Technology Services,NOC,Connection Checking,P3 - Planned,"Request to run network testing (ping test, trace route, speed test).",
Technology Services,NOC,General Network Activity,P3 - Planned,Any network-related activity that is not on the list.,
Technology Services,NOC,Maintenance,P3 - Planned | P4 - Project,Ticket for any network-related maintenance.,
Technology Services,NOC,Monitoring Alerts,P2 - General,Ticket for the network alerts from SolarWinds.,
Technology Services,NOC,Network Diagram Creation/Update,P3 - Planned,Creation/Updating of internal network diagram (KMC infrastructure),
Technology Services,NOC,Network Gear Mount/Unmount,P3 - Planned,Ticket for mounting or unmounting any network device in the server rack.,
Technology Services,NOC,Operational Readiness Test,P4 - Project,Ticket for Operational Readiness Test (ORT).,
Technology Services,NOC,Port Tracing,P3 - Planned,Ticket for a port tracing activity.,
Technology Services,NOC,Report Generation,P3 - Planned,"Request for a network report (bandwidth utilization, etc).",
Technology Services,NOC,Site Build,P4 - Project,Network-side site build tickets.,
Technology Services,NOC,SSID Creation/Removal,P3 - Planned,Request for creation/removal of SSID. ,
Technology Services,NOC,VLAN Change/Create,P3 - Planned,Request for VLAN changing/creating,
Technology Services,NOC,Website Issue,P2 - General,Tickets related any website issue.,
Technology Services,NOC,Whitelist/Blacklist,P3 - Planned,Request to whitelist or blacklist a URL. Ticket for the creation of access rules.,
Technology Services,NOC,Wired/Wireless Connection,P3 - Planned,Request to be connected to the WiFi or LAN.,
Technology Services,NOC,IP Request,P3 - Planned,"Tickets relating to IP Addressing for hosts in network, both Public and Private IPs",
Technology Services,NOC,Traffic Engineering,P3 - Planned,"Tickets relating to access rules, routing, switching, and the likes",
Technology Services,NOC,Client High Level Network Design,P3 - Planned,Tickets for creation of high level network map for clients,
Technology Services,NOC,Client Requirement Discovery,P3 - Planned,Tickets for request of the presence of Design Team during Discovery calls for clients,
Technology Services,NOC,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in Network Security. Mostly an internally planned/scheduled evaluation. ,
Technology Services,NOC,Vulnerability Remediation,P2 - General,Any tickets regarding network security concerns or findings that require attention from either the SOC (Security Operations Center) or the Network Team.,
Technology Services,NOC,Alerts and Detection,P2 - General,"Tickets associated with real-time alerts and detections in Network Security. Usually a real-time system or 
monitoring alerts that require immediate attention and prompt action.",
Technology Services,NOC,Emergency Maintenance,P3 - Planned,Any request related to emergency maintenance notification,
Technology Services,NOC,ISP Maintenance,P3 - Planned,Any request related to ISP maintenance notification,
Technology Services,NOC,Network Maintenance,P3 - Planned,Any request related to network maintenance notification,
Technology Services,NOC,Power Maintenance,P3 - Planned,Any request related to power maintenance notification,
Technology Services,NOC,VoIP Maintenance,P3 - Planned,Any request related to Voice maintenance notification,
Technology Services,NOC Systems,Emergency Maintenance,P3 - Planned,Any request related to emergency maintenance notification,
Technology Services,NOC Systems,ISP Maintenance,P3 - Planned,Any request related to ISP maintenance notification,
Technology Services,NOC Systems,Network Maintenance,P3 - Planned,Any request related to network maintenance notification,
Technology Services,NOC Systems,Power Maintenance,P3 - Planned,Any request related to power maintenance notification,
Technology Services,NOC Systems,VoIP Maintenance,P3 - Planned,Any request related to Voice maintenance notification,
Technology Services,NOC Systems,Server Outage,P1 - Critical,Any outage ticket related to servers maintained by KMC Server Team,
Technology Services,NOC Systems,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in Systems/servers Security. Mostly an internally planned/scheduled evaluation. ,
Technology Services,NOC Systems,Vulnerability Remediation,P2 - General,Any tickets associated with system/server security concerns or findings and evaluation results that require resolution from both the SOC (Security Operations Center) or the Systems Team.,
Technology Services,NOC Systems,Alerts and Detection,P2 - General,Tickets associated with real-time alerts and detections in System/Server Security. Usually a real-time system or monitoring alerts that require immediate attention and prompt action.,
Technology Services,NOC Systems,Server Backup Management,P2 - General | P3 - Planned,"Backup management services to ensure data security, integrity, and accessibility & Issue with the backup process, seeking resolution to ensure data integrity and system reliability. Requests for data backup, disaster recovery planning, and restoration of server data in case of data loss or system failures. Issue with the backup process, seeking resolution to ensure data integrity and system reliability.",
Technology Services,NOC Systems,Server Decommissioning,P3 - Planned,"Request to decommission a server, including data backup, service termination, and hardware disposal in a secure and compliant manner.",
Technology Services,NOC Systems,Server Deployment and Configuration,P3 - Planned,"Requests related to setting up new servers, configuring server hardware and software, and ensuring they are ready for use.",
Technology Services,NOC Systems,Server Health Monitoring,P3 - Planned,A routine server health monitoring and performance to ensure optimal operation and proactive issue detection.,
Technology Services,NOC Systems,Server Issue,P2 - General,"Requests to address server-related issues, diagnose problems, and implement solutions to restore server functionality.",
